id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_cons_lin,neval_cons_nln,neval_jcon,neval_jgrad,neval_jac,neval_jac_lin,neval_jac_nln,neval_jprod,neval_jprod_lin,neval_jprod_nln,neval_jtprod,neval_jtprod_lin,neval_jtprod_nln,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,avgβmax
25,NZF1,1989,0,0,first_order,695496.5989223493,0.9079999923706055,375,1.4747531934660774,0.0,376,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8836598296547424
32,arglina,2000,0,0,first_order,2000.000037757581,37.66199994087219,22,0.012289435325183218,0.0,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5582162243490972
33,arglinb,2000,0,0,first_order,7.377359728633935e12,52.32600021362305,31,4.099571355666922e16,0.0,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.4395962830239088
34,arglinc,2000,0,0,first_order,3.759564375384303e14,52.83999991416931,29,2.92216846685724e17,0.0,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.46525313312123606
35,arwhead,2000,0,0,first_order,0.0007345898430077824,0.8829998970031738,14,0.5758048700808335,0.0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.04544128468455169
36,bdqrtic,2000,0,0,first_order,7996.232085161153,16.450999975204468,103,30.062077291880264,0.0,104,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7175398951316968
41,broydn7d,2000,0,0,first_order,652.5177705591933,34.16900014877319,2149,0.020262406423119775,0.0,2150,1858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8838829501038853
42,brybnd,2000,0,0,first_order,0.005391934135111281,3.921999931335449,22,1.147062768677448,0.0,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5041315147217155
45,chainwoo,2000,0,0,first_order,3.630169063502716,0.18400001525878906,54,13.644951411166117,0.0,55,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.34243288981593084
46,chnrosnb,2000,0,0,first_order,0.028825462353052958,0.8949999809265137,155,2.867747156679107,0.0,156,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7166029693188251
49,clplatea,1936,0,0,first_order,-0.012010630438877606,43.51600003242493,4767,0.00010903468695073405,0.0,4768,3827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8841234636530774
