id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_cons_lin,neval_cons_nln,neval_jcon,neval_jgrad,neval_jac,neval_jac_lin,neval_jac_nln,neval_jprod,neval_jprod_lin,neval_jprod_nln,neval_jtprod,neval_jtprod_lin,neval_jtprod_nln,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,avgβmax
25,NZF1,4992,0,0,first_order,1.7622971598951584e6,3.805000066757202,253,2.2474140768982966,0.0,254,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8836874930608387
32,arglina,5000,0,0,max_time,24073.963168264774,128.81100010871887,2,276.21703907080155,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9
33,arglinb,5000,0,0,max_time,4.5182507190768634e25,136.62700009346008,2,1.584698402465547e24,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9
34,arglinc,5000,0,0,max_time,4.512727850553088e25,137.2039999961853,2,1.5827796044397652e24,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9
35,arwhead,5000,0,0,first_order,0.0017731675845702455,12.094000101089478,11,2.998779591970713,0.0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6127174471804362
36,bdqrtic,5000,0,0,max_time,46560.13201696675,120.9760000705719,119,20775.450509649017,0.0,120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8566298360270783
41,broydn7d,5000,0,0,max_time,2645.9312976303413,120.08300018310547,1095,7.389148869328975,0.0,1096,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8956539807254938
42,brybnd,5000,0,0,first_order,0.01761168011829047,106.85099983215332,72,1.9434097048764993,0.0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7922679255242202
45,chainwoo,5000,0,0,first_order,7.973125780841679,1.812999963760376,79,44.47066278195248,0.0,80,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8180212607869586
46,chnrosnb,5000,0,0,first_order,4568.918722940374,6.315999984741211,157,4.5110365692954915,0.0,158,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.881598400793955
49,clplatea,4900,0,0,max_time,-0.010040151447195857,120.08699989318848,1437,0.0034433907281943756,0.0,1438,1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8850790623356523
50,clplateb,4900,0,0,max_time,-0.004468124813996278,120.00999999046326,1556,0.0012641136632502552,0.0,1557,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8858656707061918
51,clplatec,4900,0,0,max_time,-8.715318955917235e-5,120.04500007629395,1145,0.015177850292758425,0.0,1146,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8696132025088732
53,cosine,5000,0,0,first_order,-4998.999999316125,4.64300012588501,129,0.004799434180380718,0.0,130,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.876985788122393
54,cragglvy,5000,0,0,first_order,1789.8904271507276,6.186000108718872,80,27.11462789292177,0.0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8151685014724771
55,curly,5000,0,0,max_time,-501571.0646599869,120.08400011062622,1550,2.6695950084175633,0.0,1551,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.872703165468945
56,curly10,5000,0,0,max_time,-501371.5505770028,121.01900005340576,55,913.089946568915,0.0,56,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8510650896794901
