id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_cons_lin,neval_cons_nln,neval_jcon,neval_jgrad,neval_jac,neval_jac_lin,neval_jac_nln,neval_jprod,neval_jprod_lin,neval_jprod_nln,neval_jtprod,neval_jtprod_lin,neval_jtprod_nln,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,avgβmax,avgsatβ
25,NZF1,4992,0,0,first_order,1.7622965773185403e6,81.79100012779236,5166,0.09254833990014286,0.0,5167,5155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
32,arglina,5000,0,0,max_time,24073.486328125,131.13899993896484,2,276.21358640101033,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
33,arglinb,5000,0,0,max_time,4.517225124196921e25,142.29099988937378,2,1.5845185374128445e24,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
34,arglinc,5000,0,0,max_time,4.511706055175844e25,142.20800018310547,2,1.5826004036885798e24,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
35,arwhead,5000,0,0,first_order,0.0005858721880267481,7.833999872207642,16,0.7751602606569208,0.0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
36,bdqrtic,5000,0,0,max_time,376469.73633228004,120.64600014686584,93,38617.116678682825,0.0,94,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
41,broydn7d,5000,0,0,max_time,4669.378429016584,120.01600003242493,939,21.260619804704067,0.0,940,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
42,brybnd,5000,0,0,first_order,0.005898011793572437,28.80399990081787,21,1.3280667485299193,0.0,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
45,chainwoo,5000,0,0,first_order,19691.633917201805,2.5910000801086426,98,24.107646406508266,0.0,99,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
46,chnrosnb,5000,0,0,first_order,4567.856155852638,6.9040000438690186,148,3.383845849395433,0.0,149,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
49,clplatea,4900,0,0,max_time,-0.00732441142549071,120.05099987983704,1104,0.011609557355588784,0.0,1105,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
50,clplateb,4900,0,0,max_time,-0.0018291264604274953,120.03800010681152,1041,0.024585221924689888,0.0,1042,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
51,clplatec,4900,0,0,max_time,-2.8609648755540486e-5,120.0569999217987,756,0.1183776579746667,0.0,757,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
53,cosine,5000,0,0,first_order,-4998.999999923326,0.6779999732971191,30,0.0017728377428371225,0.0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
54,cragglvy,5000,0,0,first_order,1703.5025704088207,7.388000011444092,94,10.941400592688327,0.0,95,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
55,curly,5000,0,0,max_time,-501552.10787696653,120.07500004768372,1279,56.39903340274033,0.0,1280,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
56,curly10,5000,0,0,max_time,-501346.2750592676,120.39000010490417,48,902.1972705294493,0.0,49,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
57,curly20,5000,0,0,max_time,-501142.4269334121,121.67199993133545,51,1841.2454082282593,0.0,52,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
58,curly30,5000,0,0,max_time,-500675.6954414726,121.75600004196167,48,6785.078698219163,0.0,49,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
59,dixmaane,4998,0,0,first_order,1.1845659511345668,92.04200005531311,86,0.0727384962467221,0.0,87,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
60,dixmaanf,4998,0,0,first_order,1.0114326173395236,70.77899980545044,68,0.02717252241863657,0.0,69,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
61,dixmaang,4998,0,0,first_order,1.207227591097229,40.4210000038147,39,0.453610320365237,0.0,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
62,dixmaanh,4998,0,0,first_order,1.2447399379432043,37.98900008201599,36,0.5037297884725508,0.0,37,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
63,dixmaani,4998,0,0,max_time,3.6468664947847147,120.0789999961853,101,2.572856331723944,0.0,102,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
64,dixmaanj,4998,0,0,max_time,1.0998197031707377,121.27999997138977,99,0.5774780701296,0.0,100,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
