id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_cons_lin,neval_cons_nln,neval_jcon,neval_jgrad,neval_jac,neval_jac_lin,neval_jac_nln,neval_jprod,neval_jprod_lin,neval_jprod_nln,neval_jtprod,neval_jtprod_lin,neval_jtprod_nln,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,avgβmax
25,NZF1,1989,0,0,first_order,695496.3145735369,0.7899999618530273,321,1.4767746495261982,0.0,322,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8851066369407438
32,arglina,2000,0,0,first_order,2000.0000800786765,82.0440001487732,36,0.01789732669646186,0.0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6581361190752464
33,arglinb,2000,0,0,first_order,7.136295892715488e14,112.68700003623962,47,4.032035935844389e17,0.0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7137809479817215
34,arglinc,2000,0,0,first_order,7.585433584758225e14,117.44600009918213,47,4.150751105217259e17,0.0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.714586477814715
35,arwhead,2000,0,0,first_order,0.0007318809012804017,0.6800000667572021,3,0.17252247427367204,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.014436518078477336
36,bdqrtic,2000,0,0,first_order,7993.925187124696,12.2260000705719,68,31.199229604022907,0.0,69,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8182314502949893
41,broydn7d,2000,0,0,first_order,602.0071036212752,34.97800016403198,2126,0.019697372920394314,0.0,2127,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8879985530514665
42,brybnd,2000,0,0,first_order,0.005612702530857979,17.377000093460083,74,1.1355267437543863,0.0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8006585116274717
45,chainwoo,2000,0,0,first_order,7.292745833716014,0.32399988174438477,88,27.711602291386463,0.0,89,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8262345444254122
46,chnrosnb,2000,0,0,first_order,1818.3119072886275,1.436000108718872,234,2.882938239114347,0.0,235,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.88106645186491
49,clplatea,1936,0,0,first_order,-0.012010185734957985,57.97699999809265,6209,0.00010892452800652396,0.0,6210,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8702989212470305
