id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_cons_lin,neval_cons_nln,neval_jcon,neval_jgrad,neval_jac,neval_jac_lin,neval_jac_nln,neval_jprod,neval_jprod_lin,neval_jprod_nln,neval_jtprod,neval_jtprod_lin,neval_jtprod_nln,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,avgβmax,avgsatβ
25,NZF1,1989,0,0,first_order,695496.0573865254,12.107999801635742,4846,0.11832206265944285,0.0,4847,4836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
32,arglina,2000,0,0,first_order,2000.0000000000964,58.34400010108948,28,1.6646164077859213e-11,0.0,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
33,arglinb,2000,0,0,max_time,5.207717014713401e15,120.21099996566772,60,1.089210095691026e18,0.0,61,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
34,arglinc,2000,0,0,max_time,2.0867796936225976e16,121.54399991035461,59,2.1770820050861745e18,0.0,60,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
35,arwhead,2000,0,0,first_order,0.00012985440003498994,110.55700016021729,626,1.0436932740223548,0.0,627,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
36,bdqrtic,2000,0,0,max_time,18977.497998065875,120.12199997901917,599,56457.89751827066,0.0,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
41,broydn7d,2000,0,0,first_order,44.966164142151335,64.44600009918213,3606,0.01595941770441897,0.0,3607,3592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
42,brybnd,2000,0,0,first_order,24.20597366024475,90.75699996948242,400,1.0365274520431,0.0,401,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
45,chainwoo,2000,0,0,first_order,8.311043727567903,1.0290000438690186,276,21.183112757380087,0.0,277,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
46,chnrosnb,2000,0,0,max_time,1639.3023672189533,120.00200009346008,18788,73.2225196498441,0.0,18789,18781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
49,clplatea,1936,0,0,max_time,-0.011774042513031952,120.0019998550415,10668,0.05571876812102987,0.0,10669,10665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
50,clplateb,1936,0,0,max_time,-0.005181327016731834,120.01199984550476,10738,0.008140299260052943,0.0,10739,10736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
51,clplatec,1936,0,0,max_time,-0.0002755244647354437,120.00300002098083,10310,0.18703264059714966,0.0,10311,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
53,cosine,2000,0,0,max_time,-1988.0770904545966,120.00099992752075,16812,0.4659880068118453,0.0,16813,16803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
54,cragglvy,2000,0,0,first_order,677.184645547979,0.6960000991821289,61,14.269607799907767,0.0,62,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
55,curly,2000,0,0,max_time,-200615.72289968585,120.01200008392334,8425,353.536936549131,0.0,8426,8419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
