id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_cons_lin,neval_cons_nln,neval_jcon,neval_jgrad,neval_jac,neval_jac_lin,neval_jac_nln,neval_jprod,neval_jprod_lin,neval_jprod_nln,neval_jtprod,neval_jtprod_lin,neval_jtprod_nln,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,avgβmax,avgsatβ
61,dixmaang,99,0,0,first_order,1.0000274382717493,0.0690000057220459,165,0.009675549411928348,0.0,166,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
62,dixmaanh,99,0,0,first_order,1.0000342738077228,0.05900001525878906,139,0.007883408124235559,0.0,140,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
63,dixmaani,99,0,0,first_order,1.000567588425816,0.2889997959136963,532,0.0012923373061270605,0.0,533,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
64,dixmaanj,99,0,0,first_order,1.0002063261681517,0.12800002098083496,280,0.004212385023904296,0.0,281,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
65,dixmaank,99,0,0,first_order,1.0008010395466929,0.059999942779541016,123,0.04644622477298785,0.0,124,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
66,dixmaanl,99,0,0,first_order,1.0044076570218021,0.05800008773803711,84,0.12732962696807398,0.0,85,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
67,dixmaanm,99,0,0,first_order,1.0000272605442402,5.380000114440918,5103,0.001220550759595993,0.0,5104,5094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
68,dixmaann,99,0,0,first_order,1.0005671114421746,0.11800003051757812,101,0.0032845298559665143,0.0,102,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
69,dixmaano,99,0,0,first_order,1.00093381259413,0.09500002861022949,99,0.01303182666711132,0.0,100,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
70,dixmaanp,99,0,0,first_order,1.0008636681426277,0.1100001335144043,97,0.0397258967263269,0.0,98,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
71,dixon3dq,100,0,0,first_order,4.8238336932653347e-8,0.6740000247955322,51559,0.0003651844475915713,0.0,51560,51547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
72,dqdrtic,100,0,0,first_order,0.00223670420224141,0.003999948501586914,206,1.1771145511541445,0.0,207,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
73,dqrtic,100,0,0,first_order,50.17497536515518,0.0009999275207519531,42,32.92596058978243,0.0,43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
74,edensch,100,0,0,first_order,603.2845922644505,0.003000020980834961,86,0.0035539133734520203,0.0,87,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
75,eg2,100,0,0,first_order,-98.94740265544279,0.0010001659393310547,66,0.002282047710032044,0.0,67,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
77,engval1,100,0,0,first_order,109.0881379765411,0.003999948501586914,207,0.008356027095767181,0.0,208,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
78,errinros,100,0,0,first_order,78.74730218593572,0.01699995994567871,493,2.7148676862686987,0.0,494,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
79,extrosnb,100,0,0,first_order,0.006023871361404112,0.14499998092651367,10263,0.8032013081781196,0.0,10264,10253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
80,fletcbv2,100,0,0,first_order,-0.5140063502125842,0.23000001907348633,7263,3.0170368722190442e-5,0.0,7264,7262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
81,fletcbv3,100,0,0,first_order,-2.0443544950621604,0.00599980354309082,112,1.8490143804930587e-5,0.0,113,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
82,fletchcr,100,0,0,first_order,1.3345613469752899e-5,0.06000018119812012,3730,0.004814848157466249,0.0,3731,3719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
83,fminsrf2,100,0,0,first_order,100.00000009131172,1.0750000476837158,38946,0.004508338553769322,0.0,38947,38932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
84,freuroth,100,0,0,first_order,11964.577573071638,0.21300005912780762,5308,0.36338281876619627,0.0,5309,5297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
86,genhumps,100,0,0,first_order,0.001674527496021167,2.1029999256134033,40451,0.08472092792065443,0.0,40452,40428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
87,genrose,100,0,0,first_order,1.0000000988044422,0.1770000457763672,9869,0.004645521903823257,0.0,9870,9855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
88,genrose_nash,100,0,0,first_order,1.000000007981027,0.125,5790,0.002934599106850695,0.0,5791,5775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
196,indef,100,0,0,first_order,-10047.698825659829,17.344000101089478,41273,0.00103067794242382,0.0,41274,41256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
199,liarwhd,100,0,0,first_order,0.0007144095561533296,0.01399993896484375,888,0.5367195713576156,0.0,889,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
204,morebv,100,0,0,first_order,0.00011485389455550341,1.0379998683929443,60859,0.0002701620667758328,0.0,60860,60850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
206,ncb20,100,0,0,first_order,170.04477526112186,16.72099995613098,73583,0.001698022700159521,0.0,73584,73571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
207,ncb20b,100,0,0,first_order,196.68016371051164,4.9049999713897705,25770,0.0026004816277112324,0.0,25771,25755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
208,noncvxu2,100,0,0,first_order,232.8786521874175,16.457000017166138,15540,0.5198188075854255,0.0,15541,15530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
209,noncvxun,100,0,0,first_order,231.89617209949847,2.9769999980926514,2850,0.9363417000011552,0.0,2851,2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
210,nondia,100,0,0,first_order,0.006307842291127073,0.0010001659393310547,53,1.927004848345496,0.0,54,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
211,nondquar,100,0,0,first_order,0.0004108533396903781,0.3840000629425049,1279,0.039929642561414035,0.0,1280,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
224,penalty2,100,0,0,first_order,97099.15960537255,0.007999897003173828,9,77.01473276064628,0.0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
225,penalty3,100,0,0,first_order,1.0000022702919225,0.3819999694824219,1679,1.9157290291706415,0.0,1680,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
231,powellsg,100,0,0,first_order,0.00016395570578310118,0.07599997520446777,4875,0.1477836370661186,0.0,4876,4866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
232,power,100,0,0,first_order,92.97417288579528,0.0,10,691.9587037813848,0.0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
233,quartc,100,0,0,first_order,50.17497536515518,0.0010001659393310547,42,32.92596058978243,0.0,43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
236,sbrybnd,100,0,0,max_time,378.3867392696811,60.00099992752075,121534,58314.011374166075,0.0,121535,121523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
237,schmvett,100,0,0,first_order,-293.99999992087146,0.006000041961669922,176,0.0013407173017891381,0.0,177,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
238,scosine,100,0,0,max_time,-0.7759116766061425,60.00099992752075,2467434,22824.91857616946,0.0,2467435,2467411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
239,sinquad,100,0,0,first_order,0.00017449427038013904,45.92199993133545,79870,0.0003605626239256622,0.0,79871,79858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
240,sparsine,100,0,0,first_order,0.0019410860610994537,1.1050000190734863,916,0.09735467310569078,0.0,917,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
241,sparsqur,100,0,0,first_order,0.0006247073604999566,0.023999929428100586,25,0.01747793659798634,0.0,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
242,spmsrtls,100,0,0,first_order,5.849998655024881e-9,0.017999887466430664,340,0.0005002464922681413,0.0,341,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
243,srosenbr,100,0,0,first_order,5.807305632275077e-6,0.0970001220703125,8019,0.019604035779437545,0.0,8020,8009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
252,tointgss,100,0,0,first_order,9.607845804088994,0.028999805450439453,82,0.006014423128309089,0.0,83,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
253,tquartic,100,0,0,first_order,1.2365541649986203e-9,2.433000087738037,162518,0.00016366279860367567,0.0,162519,162500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
258,tridia,100,0,0,first_order,3.085859237819372e-6,0.03800010681152344,2782,0.09713662564453392,0.0,2783,2769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
259,vardim,100,0,0,first_order,934962.7060117307,0.0009999275207519531,21,6.994015155560984e7,0.0,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
260,woods,100,0,0,first_order,0.010940184499846472,0.03600001335144043,2763,0.9285208437871748,0.0,2764,2754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
