id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_cons_lin,neval_cons_nln,neval_jcon,neval_jgrad,neval_jac,neval_jac_lin,neval_jac_nln,neval_jprod,neval_jprod_lin,neval_jprod_nln,neval_jtprod,neval_jtprod_lin,neval_jtprod_nln,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,avgβmax
25,NZF1,4992,0,0,first_order,1.7622978225151736e6,5.309000015258789,355,2.2304303442200197,0.0,356,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8717373536488963
32,arglina,5000,0,0,max_time,24571.55772697803,154.74699997901917,2,279.79676715059213,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9
33,arglinb,5000,0,0,max_time,4.886881063672335e25,160.43099999427795,2,1.6480764043532468e24,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9
34,arglinc,5000,0,0,max_time,4.880424195209156e25,170.2979998588562,2,1.6459993503585292e24,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9
35,arwhead,5000,0,0,first_order,0.009551120233547206,17.115999937057495,11,0.7554357870286018,0.0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5670649031739914
36,bdqrtic,5000,0,0,max_time,84247.4478658316,121.20000004768372,100,9186.604492031634,0.0,101,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8367251106695175
41,broydn7d,5000,0,0,max_time,3277.5524208104916,120.07599997520447,908,11.081994724466,0.0,909,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8765954129615918
42,brybnd,5000,0,0,first_order,0.00028413883216996696,81.83699989318848,45,0.23493128642710642,0.0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.1814444025550019
45,chainwoo,5000,0,0,first_order,14.918087557910251,2.5240001678466797,99,25.695101688688048,0.0,100,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.293932971786303
46,chnrosnb,5000,0,0,first_order,1815.9162900129268,12.127000093460083,302,2.2337395181288384,0.0,303,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8056932489774815
49,clplatea,4900,0,0,max_time,-0.009978955516725757,120.0090000629425,1148,0.007029224302370195,0.0,1149,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8817539574390936
50,clplateb,4900,0,0,max_time,-0.004387117028910446,120.07299995422363,1066,0.001395541659138668,0.0,1067,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8727851650161236
51,clplatec,4900,0,0,max_time,-6.976758175950949e-5,120.07299995422363,921,0.012265956971201926,0.0,922,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8881393273551493
53,cosine,5000,0,0,first_order,-4998.999999940896,2.8480000495910645,78,0.005176878907797734,0.0,79,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5739958900448734
54,cragglvy,5000,0,0,first_order,1700.387290018088,4.866999864578247,58,15.044665007348934,0.0,59,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.23567463857759716
55,curly,5000,0,0,max_time,-501571.4466853076,120.08800005912781,1250,2.559672536509554,0.0,1251,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8884773358556842
56,curly10,5000,0,0,max_time,-501391.84327509435,120.82999992370605,48,195.10771484903745,0.0,49,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8811961442107646
57,curly20,5000,0,0,max_time,-499003.44060771726,121.46500015258789,44,4669.722771812455,0.0,45,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8824952348427751
58,curly30,5000,0,0,max_time,-493610.7228416881,122.45400023460388,46,14157.747779525369,0.0,47,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8873942342117731
59,dixmaane,4998,0,0,first_order,1.102384654601202,109.97100019454956,89,0.13466781872640693,0.0,90,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.562537200404264
60,dixmaanf,4998,0,0,first_order,1.0863734376133976,70.08599996566772,59,0.2134413714818843,0.0,60,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2069267250614462
61,dixmaang,4998,0,0,first_order,1.1146715967134644,62.16599988937378,49,0.30762244706784864,0.0,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2238597993519874
62,dixmaanh,4998,0,0,first_order,1.511324867606295,46.24399995803833,37,0.9442581351412518,0.0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.27943908218751234
63,dixmaani,4998,0,0,first_order,1.148709451648312,103.97200012207031,88,0.11892707237820048,0.0,89,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.37858741499573956
64,dixmaanj,4998,0,0,first_order,1.0789753820418428,58.717000007629395,45,0.23594267060971175,0.0,46,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.24983416896322194
